Ch1,Ch2,Ch3,Ch4,Label
-102.56301638484001,51.5807001888752,13.643155038356781,120.27518257498741,rest
52.538114577531815,122.4293649494648,14.121862232685089,-62.590965658426285,rest
35.90303957462311,119.55712178349495,15.438307017087936,-25.850188493728638,rest
-96.22014605998993,55.05132734775543,6.8215775191783905,147.68116945028305,rest
-15.198953419923782,88.44115415215492,15.198953419923782,-10.770911872386932,rest
67.25836080312729,131.04609444737434,12.805417448282242,-82.09828382730484,rest
-53.1364985704422,68.81415918469429,2.7525663673877716,120.39485937356949,rest
-65.70256242156029,65.70256242156029,7.539638310670853,66.77965360879898,rest
73.72090792655945,132.72156962752342,24.055036514997482,-94.06596368551254,rest
-17.472812592983246,92.15113490819931,9.215113490819931,52.65779137611389,rest
-89.27889174222946,53.25617536902428,4.42804154753685,130.56738725304604,rest
44.63944587111473,117.7619698047638,18.310550183057785,-72.16510954499245,rest
36.62110036611557,120.15550577640533,22.97794532775879,-33.38982680439949,rest
-94.784024477005,59.12033849954605,-1.3164447844028473,150.79276621341705,rest
-13.164447844028473,86.76567897200584,12.44638705253601,-9.933174282312393,rest
74.79799911379814,130.56738725304604,21.78117734193802,-78.6276566684246,rest
-56.487448930740356,67.61739119887352,8.497052699327469,120.8735665678978,rest
-63.18934965133667,67.37803760170937,6.7019007205963135,70.96834155917168,rest
70.60931116342545,130.32803365588188,16.276044607162476,-100.16948041319847,rest
-14.959599822759628,95.38240846991539,12.326710253953934,57.44486331939697,rest
-97.53659084439278,51.82005378603935,3.709980756044388,121.59162735939026,rest
44.16073867678642,120.03582897782326,17.472812592983246,-72.16510954499245,rest
42.60494029521942,117.52261620759964,11.129942268133163,-27.046956479549408,rest
-90.35598292946815,54.33326655626297,7.0609311163425446,148.5189070403576,rest
-10.531558275222778,87.84277015924454,10.292204678058624,-0.8377375900745392,rest
69.41254317760468,131.52480164170265,16.994105398654938,-82.09828382730484,rest
-73.72090792655945,70.60931116342545,3.590303957462311,105.43525955080986,rest
-63.90741044282913,64.02708724141121,15.198953419923782,78.1489494740963,rest
67.25836080312729,128.1738512814045,34.94562518596649,-108.18782591819763,rest
-3.590303957462311,103.75978437066078,-9.933174282312393,62.590965658426285,rest
-93.46757969260216,52.29876098036766,-2.7525663673877716,128.77223527431488,rest
44.40009227395058,112.97489786148071,14.959599822759628,-73.24220073223114,rest
33.03079640865326,116.44552502036095,21.541823744773865,-34.825948387384415,rest
-90.47565972805023,55.41035774350166,7.300284713506699,148.04019984602928,rest
-8.736406296491623,86.28697177767754,6.7019007205963135,-1.0770911872386932,rest
64.14676403999329,131.04609444737434,25.610834896564484,-89.03953814506531,rest
-67.01900720596313,66.1812696158886,8.736406296491623,118.36035379767418,rest
-62.35161206126213,63.5483800470829,7.180607914924622,63.787733644247055,rest
68.2157751917839,127.57546728849411,22.738591730594635,-106.75170433521271,rest
-7.898668706417084,92.7495189011097,6.462547123432159,59.12033849954605,rest
-103.6401075720787,48.947810620069504,3.3509503602981567,128.29352807998657,rest
51.82005378603935,117.40293940901756,20.823762953281403,-67.37803760170937,rest
38.057221949100494,114.53069624304771,14.121862232685089,-26.20921888947487,rest
-90.35598292946815,52.65779137611389,12.08735665678978,138.34637916088104,rest
-12.08735665678978,92.86919569969177,1.7951519787311554,6.462547123432159,rest
71.92575594782829,132.3625392317772,22.14020773768425,-81.85893023014069,rest
-64.38611763715744,72.76349353790283,2.0345055758953094,111.77812987565994,rest
-67.25836080312729,67.13868400454521,15.079276621341705,64.38611763715744,rest
72.28478634357452,132.12318563461304,5.146102339029312,-90.83469012379646,rest
-13.523478239774704,94.06596368551254,8.616729497909546,53.1364985704422,rest
-97.17756044864655,51.93973058462143,6.342870324850082,131.64447844028473,rest
43.20332428812981,113.21425145864487,16.87442860007286,-70.72898796200752,rest
40.33108112215996,119.55712178349495,22.020530939102173,-35.78336277604103,rest
-91.91178131103516,53.85455936193466,-1.4361215829849243,146.24504786729813,rest
-23.33697572350502,87.60341656208038,9.69382068514824,-9.813497483730316,rest
80.66216224431992,134.03801441192627,22.97794532775879,-71.68640235066414,rest
-67.85674479603767,68.09609839320183,2.1541823744773865,115.96681782603264,rest
-62.11225846409798,63.787733644247055,13.762831836938858,68.2157751917839,rest
71.20769515633583,129.1312656700611,16.51539820432663,-96.22014605998993,rest
-8.138022303581238,92.27081170678139,13.28412464261055,50.862639397382736,rest
-93.82661008834839,50.862639397382736,-1.4361215829849243,135.83316639065742,rest
39.613020330667496,114.77004984021187,13.523478239774704,-67.01900720596313,rest
39.253989934921265,119.43744498491287,17.7121661901474,-27.645340472459793,rest
-96.22014605998993,49.90522500872612,-5.505132734775543,140.85959193110466,rest
-10.292204678058624,85.32955738902092,12.685740649700165,-2.6328895688056946,rest
73.24220073223114,127.69514408707619,25.0124509036541,-81.14086943864822,rest
